시도,시군구,구역명칭,현 사업추진단계,사업유형,사업시행자,공급 예정 세대수
강원특별자치도,속초시,속초중앙동,6)관리처분인가,1)재개발(주택정비),1)조합,1449 
강원특별자치도,원주시,단구동14통,7)착공,1)재개발(주택정비),1)조합, 353 
강원특별자치도,원주시,원동다박골,7)착공,1)재개발(주택정비),1)조합,1502 
강원특별자치도,원주시,원동나래,6)관리처분인가,1)재개발(주택정비),1)조합, 998 
강원특별자치도,원주시,명륜동세경1차아파트,5)사업시행인가,4)재건축(단독주택),1)조합, 429 
강원특별자치도,원주시,단계주공아파트,6)관리처분인가,3)재건축(공동주택),1)조합,1560 
강원특별자치도,춘천시,약사촉진4,5)사업시행인가,1)재개발(주택정비),1)조합,1326 
강원특별자치도,춘천시,약사촉진6,2)정비구역지정,5)주거환경개선,"3)공공(지자체/시장,군수 등)",0 
강원특별자치도,춘천시,약사촉진8,2)정비구역지정,5)주거환경개선,"3)공공(지자체/시장,군수 등)",0 
강원특별자치도,춘천시,소양촉진1,2)정비구역지정,5)주거환경개선,"3)공공(지자체/시장,군수 등)",0 
강원특별자치도,춘천시,소양촉진2,7)착공,3)재건축(공동주택),1)조합,1039 
강원특별자치도,춘천시,소양촉진3,2)정비구역지정,5)주거환경개선,"3)공공(지자체/시장,군수 등)",0 
강원특별자치도,춘천시,소양촉진6,2)정비구역지정,5)주거환경개선,"3)공공(지자체/시장,군수 등)",0 
강원특별자치도,강릉시,옥포연립,4)조합설립인가,3)재건축(공동주택),1)조합,0 
강원특별자치도,원주시,원동주공아파트,5)사업시행인가,3)재건축(공동주택),1)조합,1240 
강원특별자치도,강릉시,포남주공1단지아파트,4)조합설립인가,4)재건축(단독주택),1)조합, 776 
강원특별자치도,원주시,동주·선아아파트,3)추진위구성,3)재건축(공동주택),1)조합, 340 
강원특별자치도,춘천시,효자2동,2)정비구역지정,1)재개발(주택정비),2)토지등소유자, 679 
경기도,수원영통구,영통3구역(원천주공),3)추진위구성,3)재건축(공동주택),1)조합,1333 
경기도,수원권선구,권선2구역(성일아파트),5)사업시행인가,3)재건축(공동주택),1)조합, 439 
경기도,수원권선구,권선1구역(동남아파트),6)관리처분인가,3)재건축(공동주택),1)조합, 440 
경기도,수원영통구,영통1구역,6)관리처분인가,1)재개발(주택정비),1)조합, 976 
경기도,수원장안구,111-3,6)관리처분인가,1)재개발(주택정비),1)조합, 556 
경기도,수원팔달구,115-12,6)관리처분인가,3)재건축(공동주택),1)조합,1305 
경기도,수원영통구,"영통2구역(매탄주공4,5단지)",6)관리처분인가,3)재건축(공동주택),1)조합,3642 
경기도,수원팔달구,팔달1구역(현대아파트),6)관리처분인가,3)재건축(공동주택),1)조합,1195 
경기도,수원권선구,113-6,7)착공,1)재개발(주택정비),1)조합,2178 
경기도,수원팔달구,115-10,7)착공,1)재개발(주택정비),1)조합,1154 
경기도,수원권선구,113-7구역(평동지구),7)착공,5)주거환경개선,"3)공공(지자체/시장,군수 등)",0 
경기도,수원팔달구,115-3,6)관리처분인가,1)재개발(주택정비),1)조합,1171 
경기도,고양덕양구,관산Ⅱ-1구역(새서울아파트),3)추진위구성,3)재건축(공동주택),1)조합,0 
경기도,고양덕양구,행신Ⅰ-1구역,4)조합설립인가,1)재개발(주택정비),1)조합, 663 
경기도,고양덕양구,고양Ⅰ-1구역,4)조합설립인가,1)재개발(주택정비),1)조합, 352 
경기도,고양덕양구,원당2,5)사업시행인가,1)재개발(주택정비),1)조합,1326 
경기도,고양덕양구,능곡5,6)관리처분인가,1)재개발(주택정비),1)조합,2560 
경기도,고양덕양구,능곡6,4)조합설립인가,2)재개발(도시정비),1)조합,2501 
경기도,고양덕양구,능곡2,6)관리처분인가,1)재개발(주택정비),1)조합,2933 
경기도,고양덕양구,행신Ⅱ-1구역,6)관리처분인가,3)재건축(공동주택),1)조합, 272 
경기도,고양일산서구,일산Ⅰ-2구역,4)조합설립인가,1)재개발(주택정비),1)조합, 308 
경기도,고양덕양구,고양Ⅰ-2구역,5)사업시행인가,1)재개발(주택정비),1)조합, 309 
경기도,고양덕양구,원당1,7)착공,1)재개발(주택정비),1)조합,2601 
경기도,고양덕양구,원당4,7)착공,1)재개발(주택정비),1)조합,1236 
경기도,고양덕양구,능곡2-1(능곡연합),7)착공,3)재건축(공동주택),1)조합, 834 
경기도,용인수지구,풍덕천1,7)착공,5)주거환경개선,"3)공공(지자체/시장,군수 등)", 해당없음 
경기도,용인처인구,모현1,4)조합설립인가,1)재개발(주택정비),1)조합, 623 
경기도,용인기흥구,신갈2,7)착공,5)주거환경개선,"3)공공(지자체/시장,군수 등)", 해당없음 
경기도,용인처인구,고림1,7)착공,5)주거환경개선,"3)공공(지자체/시장,군수 등)", 해당없음 
경기도,용인처인구,용인7,5)사업시행인가,1)재개발(주택정비),1)조합, 323 
경기도,용인처인구,이동2,5)사업시행인가,5)주거환경개선,"3)공공(지자체/시장,군수 등)", 해당없음 
경기도,성남수정구,신흥1,5)사업시행인가,1)재개발(주택정비),"4)공공(LH,SH,GH)",3754 
경기도,성남수정구,신흥3,17)사업시행자지정,1)재개발(주택정비),"4)공공(LH,SH,GH)",3395 
경기도,성남수정구,수진1,5)사업시행인가,1)재개발(주택정비),"4)공공(LH,SH,GH)",4844 
경기도,성남수정구,태평3,17)사업시행자지정,1)재개발(주택정비),"4)공공(LH,SH,GH)",2778 
경기도,성남중원구,상대원3,17)사업시행자지정,1)재개발(주택정비),"4)공공(LH,SH,GH)",8792 
경기도,성남중원구,도환중2,4)조합설립인가,2)재개발(도시정비),1)조합,1123 
경기도,성남중원구,성지궁전아파트,6)관리처분인가,3)재건축(공동주택),1)조합, 836 
경기도,성남중원구,은행주공아파트,6)관리처분인가,3)재건축(공동주택),1)조합,3198 
경기도,성남중원구,상대원2,6)관리처분인가,1)재개발(주택정비),1)조합,4885 
경기도,성남수정구,산성,7)착공,1)재개발(주택정비),1)조합,3487 
경기도,성남중원구,도환중1,7)착공,2)재개발(도시정비),1)조합,1972 
경기도,부천소사구,"괴안3-6,괴안3-7",3)추진위구성,3)재건축(공동주택),1)조합, 660 
경기도,부천원미구,심곡3-1,2)정비구역지정,1)재개발(주택정비),1)조합, 334 
경기도,부천원미구,소사3,6)관리처분인가,1)재개발(주택정비),1)조합,1649 
경기도,부천소사구,소사본1-1,6)관리처분인가,2)재개발(도시정비),1)조합,1728 
경기도,부천오정구,성곡2-1,5)사업시행인가,3)재건축(공동주택),1)조합, 335 
경기도,부천소사구,송내1-1,7)착공,3)재건축(공동주택),1)조합,1045 
경기도,부천소사구,괴안3D,7)착공,1)재개발(주택정비),1)조합, 759 
경기도,부천원미구,도당1-1,5)사업시행인가,1)재개발(주택정비),1)조합,2291 
경기도,부천원미구,소사1-1,5)사업시행인가,1)재개발(주택정비),1)조합, 748 
경기도,화성병점구,화산주택,5)사업시행인가,4)재건축(단독주택),1)조합, 350 
경기도,안산단원구,고잔연립3,5)사업시행인가,3)재건축(공동주택),1)조합,1030 
경기도,안산단원구,고잔연립4,3)추진위구성,3)재건축(공동주택),1)조합,1545 
경기도,안산단원구,고잔연립5,4)조합설립인가,3)재건축(공동주택),1)조합,1484 
경기도,안산단원구,고잔연립6,4)조합설립인가,3)재건축(공동주택),1)조합, 578 
경기도,안산단원구,고잔연립7,4)조합설립인가,4)재건축(단독주택),1)조합, 593 
경기도,안산단원구,선부연립1,5)사업시행인가,4)재건축(단독주택),1)조합, 989 
경기도,안산단원구,군자주공9,4)조합설립인가,3)재건축(공동주택),6)지정개발자, 774 
경기도,안산단원구,군자주공10,4)조합설립인가,3)재건축(공동주택),6)지정개발자,1080 
경기도,안산상록구,월드아파트,3)추진위구성,3)재건축(공동주택),1)조합,1352 
경기도,안산상록구,성포예술인,3)추진위구성,3)재건축(공동주택),1)조합,0 
경기도,안산상록구,주공4단지,3)추진위구성,3)재건축(공동주택),1)조합,0 
경기도,안산상록구,현대1차아파트,4)조합설립인가,3)재건축(공동주택),1)조합, 729 
경기도,안산단원구,고잔연립2,4)조합설립인가,3)재건축(공동주택),1)조합,1112 
경기도,안산단원구,중앙주공6단지,4)조합설립인가,3)재건축(공동주택),6)지정개발자,1060 
경기도,안산상록구,팔곡일동1,4)조합설립인가,4)재건축(단독주택),1)조합, 378 
경기도,안산단원구,중앙주공5단지1,6)관리처분인가,3)재건축(공동주택),1)조합, 902 
경기도,안산단원구,중앙주공5단지2,7)착공,3)재건축(공동주택),1)조합,1051 
경기도,안산단원구,고잔연립9,7)착공,3)재건축(공동주택),1)조합, 472 
경기도,안산상록구,인정프린스아파트,7)착공,3)재건축(공동주택),1)조합, 725 
경기도,남양주시,퇴계원1,2)정비구역지정,1)재개발(주택정비),1)조합, 540 
경기도,남양주시,퇴계원2,6)관리처분인가,1)재개발(주택정비),6)지정개발자, 405 
경기도,남양주시,퇴계원4,2)정비구역지정,1)재개발(주택정비),6)지정개발자, 556 
경기도,남양주시,지금도농6-1구역,2)정비구역지정,2)재개발(도시정비),2)토지등소유자, 112 
경기도,남양주시,금곡2(서울아파트),6)관리처분인가,3)재건축(공동주택),1)조합, 542 
경기도,남양주시,지금도농1-1,6)관리처분인가,1)재개발(주택정비),1)조합, 400 
경기도,남양주시,지금도농6-2,5)사업시행인가,2)재개발(도시정비),1)조합,1122 
경기도,남양주시,덕소4,5)사업시행인가,1)재개발(주택정비),1)조합, 551 
경기도,남양주시,덕소3,4)조합설립인가,1)재개발(주택정비),1)조합,2908 
경기도,남양주시,덕소5B,6)관리처분인가,1)재개발(주택정비),1)조합, 506 
경기도,남양주시,덕소2,7)착공,1)재개발(주택정비),1)조합, 999 
경기도,남양주시,덕소5A,6)관리처분인가,1)재개발(주택정비),1)조합, 990 
경기도,남양주시,도곡2,7)착공,1)재개발(주택정비),1)조합, 908 
경기도,남양주시,덕소6A,7)착공,1)재개발(주택정비),1)조합, 212 
경기도,남양주시,덕소7,7)착공,1)재개발(주택정비),1)조합, 295 
경기도,남양주시,평내1(진주아파트),7)착공,3)재건축(공동주택),1)조합,1843 
경기도,안양동안구,현대아파트,5)사업시행인가,3)재건축(공동주택),1)조합,1305 
경기도,안양동안구,미륭아파트,6)관리처분인가,3)재건축(공동주택),1)조합, 702 
경기도,안양만안구,박달신한아파트,7)착공,3)재건축(공동주택),1)조합, 507 
경기도,안양만안구,상록지구,7)착공,1)재개발(주택정비),1)조합,1713 
경기도,안양동안구,뉴타운맨션삼호아파트,7)착공,3)재건축(공동주택),1)조합,2737 
경기도,안양만안구,안양역세권지구,7)착공,2)재개발(도시정비),1)조합, 853 
경기도,안양동안구,호계온천주변지구,7)착공,1)재개발(주택정비),1)조합,1011 
경기도,안양만안구,화창지구,7)착공,1)재개발(주택정비),1)조합, 483 
경기도,안양동안구,비산초교주변지구,7)착공,1)재개발(주택정비),1)조합,2739 
경기도,안양만안구,냉천지구,7)착공,5)주거환경개선,5)공동(2개이상),2329 
경기도,안양동안구,덕현지구,7)착공,1)재개발(주택정비),1)조합,2886 
경기도,평택시,합정주공,7)착공,3)재건축(공동주택),1)조합,1918 
경기도,평택시,"송원,현대연립",6)관리처분인가,3)재건축(공동주택),1)조합, 259 
경기도,평택시,세교1구역,6)관리처분인가,1)재개발(주택정비),1)조합,1573 
경기도,시흥시,은행1,5)사업시행인가,1)재개발(주택정비),1)조합, 540 
경기도,시흥시,목감1,3)추진위구성,1)재개발(주택정비),1)조합,1794 
경기도,시흥시,포동1,2)정비구역지정,1)재개발(주택정비),1)조합,1795 
경기도,시흥시,거모3(일우아파트),5)사업시행인가,3)재건축(공동주택),1)조합, 607 
경기도,시흥시,대야3(시흥영남2차아파트),7)착공,3)재건축(공동주택),1)조합,1026 
경기도,파주시,파주1-3,4)조합설립인가,1)재개발(주택정비),1)조합,2593 
경기도,파주시,문산3리지구,6)관리처분인가,1)재개발(주택정비),1)조합, 940 
경기도,파주시,새말지구,6)관리처분인가,1)재개발(주택정비),1)조합,2583 
경기도,파주시,문산1-5,6)관리처분인가,1)재개발(주택정비),1)조합, 668 
